Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2010/11/10,1218.71,,,1213.14,,,1218.75,,,1204.33,,
2010/11/9,1213.4,,,1223.59,,,1226.84,,,1208.94,,
2010/11/8,1223.25,,,1223.24,,,1224.57,,,1217.55,,
2010/11/5,1225.85,,,1221.2,,,1227.08,,,1220.29,,
2010/11/4,1221.06,,,1198.34,,,1221.25,,,1198.34,,
2010/11/3,1197.96,,,1193.79,,,1198.3,,,1183.56,,
2010/11/2,1193.57,,,1187.86,,,1195.88,,,1187.86,,
2010/11/1,1184.38,,,1185.71,,,1195.81,,,1177.65,,
2010/10/29,1183.26,,,1183.87,,,1185.46,,,1179.7,,
2010/10/28,1183.78,,,1184.47,,,1189.53,,,1177.1,,
2010/10/27,1182.45,,,1183.84,,,1183.84,,,1171.7,,
2010/10/26,1185.64,,,1184.88,,,1187.11,,,1177.72,,
2010/10/25,1185.62,,,1184.74,,,1196.14,,,1184.74,,
2010/10/22,1183.08,,,1180.52,,,1183.93,,,1178.99,,
2010/10/21,1180.27,,,1179.82,,,1189.43,,,1171.17,,
2010/10/20,1178.17,,,1166.74,,,1182.94,,,1166.74,,
2010/10/19,1165.9,,,1178.64,,,1178.64,,,1159.71,,
2010/10/18,1184.71,,,1176.83,,,1185.53,,,1174.55,,
2010/10/15,1176.19,,,1177.47,,,1181.2,,,1167.12,,
2010/10/14,1173.81,,,1177.82,,,1178.89,,,1166.71,,
2010/10/13,1178.1,,,1171.32,,,1184.38,,,1171.32,,
2010/10/12,1169.77,,,1164.28,,,1172.58,,,1155.71,,
2010/10/11,1165.32,,,1165.32,,,1168.68,,,1162.02,,
2010/10/8,1165.15,,,1158.36,,,1167.73,,,1155.58,,
2010/10/7,1158.06,,,1161.57,,,1163.87,,,1151.41,,
2010/10/6,1159.97,,,1159.81,,,1162.33,,,1154.85,,
2010/10/5,1160.75,,,1140.68,,,1162.76,,,1140.68,,
2010/10/4,1137.03,,,1144.96,,,1148.16,,,1131.87,,
2010/10/1,1146.24,,,1143.49,,,1150.3,,,1139.42,,
2010/9/30,1141.2,,,1145.97,,,1157.16,,,1136.08,,
2010/9/29,1144.73,,,1146.75,,,1148.63,,,1140.26,,
2010/9/28,1147.7,,,1142.31,,,1150,,,1132.09,,
2010/9/27,1142.16,,,1148.64,,,1149.92,,,1142,,
2010/9/24,1148.67,,,1131.69,,,1148.9,,,1131.69,,
2010/9/23,1124.83,,,1131.1,,,1136.77,,,1122.79,,
2010/9/22,1134.28,,,1139.49,,,1144.38,,,1131.58,,
2010/9/21,1139.78,,,1142.82,,,1148.59,,,1136.22,,
